language,abbreviation,book_number,rank
en,Genesis,01,255
en,Gen,01,9
en,Ge,01,9
en,Gn,01,9
en,Exodus,02,255
en,Exo,02,9
en,Ex,02,9
en,Exod,02,9
en,Leviticus,03,255
en,Lev,03,9
en,Le,03,9
en,Lv,03,9
en,Numbers,04,255
en,Num,04,9
en,Nu,04,9
en,Nm,04,9
en,Nb,04,9
en,Deuteronomy,05,255
en,Deut,05,9
en,Dt,05,9
en,Joshua,06,255
en,Josh,06,9
en,Jos,06,9
en,Jsh,06,9
en,Judges,07,255
en,Judg,07,9
en,Jdg,07,9
en,Jg,07,9
en,Jdgs,07,9
en,Ruth,08,255
en,Rth,08,9
en,Ru,08,9
en,1 Samuel,09,255
en,1 Sam,09,9
en,1 Sa,09,9
en,1Samuel,09,9
en,1S,09,9
en,I Sa,09,9
en,1 Sm,09,9
en,1Sa,09,9
en,I Sam,09,9
en,1Sam,09,9
en,I Samuel,09,9
en,1st Samuel,09,9
en,First Samuel,09,9
en,2 Samuel,10,255
en,2 Sam,10,9
en,2 Sa,10,9
en,2S,10,9
en,II Sa,10,9
en,2 Sm,10,9
en,2Sa,10,9
en,II Sam,10,9
en,2Sam,10,9
en,II Samuel,10,9
en,2Samuel,10,9
en,2nd Samuel,10,9
en,Second Samuel,10,9
en,1 Kings,11,255
en,1 Kgs,11,9
en,1 Ki,11,9
en,1K,11,9
en,I Kgs,11,9
en,1Kgs,11,9
en,I Ki,11,9
en,1Ki,11,9
en,I Kings,11,9
en,1Kings,11,9
en,1st Kgs,11,9
en,1st Kings,11,9
en,First Kings,11,9
en,First Kgs,11,9
en,1Kin,11,9
en,2 Kings,12,255
en,2 Kgs,12,9
en,2 Ki,12,9
en,2K,12,9
en,II Kgs,12,9
en,2Kgs,12,9
en,II Ki,12,9
en,2Ki,12,9
en,II Kings,12,9
en,2Kings,12,9
en,2nd Kgs,12,9
en,2nd Kings,12,9
en,Second Kings,12,9
en,Second Kgs,12,9
en,2Kin,12,9
en,1 Chronicles,13,255
en,1 Chron,13,9
en,1 Ch,13,9
en,I Ch,13,9
en,1Ch,13,9
en,1 Chr,13,9
en,I Chr,13,9
en,1Chr,13,9
en,I Chron,13,9
en,1Chron,13,9
en,I Chronicles,13,9
en,1Chronicles,13,9
en,1st Chronicles,13,9
en,First Chronicles,13,9
en,2 Chronicles,14,255
en,2 Chron,14,9
en,2 Ch,14,9
en,II Ch,14,9
en,2Ch,14,9
en,II Chr,14,9
en,2Chr,14,9
en,II Chron,14,9
en,2Chron,14,9
en,II Chronicles,14,9
en,2Chronicles,14,9
en,2nd Chronicles,14,9
en,Second Chronicles,14,9
en,Ezra,15,255
en,Ezr,15,9
en,Ez,15,9
en,Nehemiah,16,255
en,Neh,16,9
en,Ne,16,9
en,Esther,17,255
en,Esth,17,9
en,Es,17,9
en,Job,18,255
en,Jb,18,9
en,Psalms,19,255
en,Pslm,19,9
en,Ps,19,9
en,Psa,19,9
en,Psm,19,9
en,Pss,19,9
en,Psalm,19,9
en,Proverbs,20,255
en,Prov,20,9
en,Pr,20,9
en,Prv,20,9
en,Ecclesiastes,21,255
en,Eccles,21,9
en,Ec,21,9
en,Qoh,21,9
en,Qoheleth,21,9
en,Song of Solomon,22,255
en,Song,22,9
en,So,22,9
en,Canticle of Canticle,22,9
en,Canticles,22,9
en,Song of Songs,22,9
en,SOS,22,9
en,Isaiah,23,255
en,Isa,23,9
en,Is,23,9
en,Jeremiah,24,255
en,Jer,24,9
en,Je,24,9
en,Jr,24,9
en,Lamentations,25,255
en,Lam,25,9
en,La,25,9
en,Ezekiel,26,255
en,Ezek,26,9
en,Eze,26,9
en,Ezk,26,9
en,Daniel,27,255
en,Dan,27,9
en,Da,27,9
en,Dn,27,9
en,Hosea,28,255
en,Hos,28,9
en,Ho,28,9
en,Joel,29,255
en,Joe,29,9
en,Jl,29,9
en,Amos,30,255
en,Am,30,9
en,Obadiah,31,255
en,Obad,31,9
en,Ob,31,9
en,Jonah,32,255
en,Jnh,32,9
en,Jon,32,9
en,Micah,33,255
en,Mic,33,9
en,Mc,33,9
en,Nah,34,255
en,Nahum,34,255
en,Na,34,9
en,Habakkuk,35,255
en,Hab,35,9
en,Zephaniah,36,255
en,Zeph,36,9
en,Zep,36,9
en,Zp,36,9
en,Haggai,37,255
en,Hag,37,9
en,Hg,37,9
en,Zechariah,38,255
en,Zech,38,9
en,Zec,38,9
en,Zc,38,9
en,Malachi,39,255
en,Mal,39,9
en,Ml,39,9
en,Matthew,40,255
en,Matt,40,9
en,Mt,40,9
en,Mark,41,255
en,Mrk,41,9
en,Mk,41,9
en,Mr,41,9
en,Luke,42,255
en,Luk,42,9
en,Lk,42,9
en,John,43,255
en,Jn,43,9
en,Jhn,43,9
en,Acts,44,255
en,Ac,44,9
en,Act,44,9
en,Romans,45,255
en,Rom,45,9
en,Ro,45,9
en,Rm,45,9
en,1 Corinthians,46,255
en,1 Cor,46,9
en,1 Co,46,9
en,I Co,46,9
