language,genre_number,book_number,title_short,title_full,chapters
en,1,1,Gen,Genesis,50
en,1,2,Exod,Exodus,40
en,1,3,Lev,Leviticus,27
en,1,4,Num,Numbers,36
en,1,5,Deut,Deuteronomy,34
en,2,6,Josh,Joshua,24
en,2,7,Judg,Judges,21
en,2,8,Ruth,Ruth,4
en,2,9,1Sam,1 Samuel,31
en,2,10,2Sam,2 Samuel,24
en,2,11,1Kgs,1 Kings,22
en,2,12,2Kgs,2 Kings,25
en,2,13,1Chr,1 Chronicles,29
en,2,14,2Chr,2 Chronicles,36
en,2,15,Ezra,Ezra,10
en,2,16,Neh,Nehemiah,13
en,2,17,Esth,Esther,10
en,3,18,Job,Job,42
en,3,19,Ps,Psalms,150
en,3,20,Prov,Proverbs,31
en,3,21,Eccl,Ecclesiastes,12
en,3,22,Song,Song of Solomon,8
en,4,23,Isa,Isaiah,66
en,4,24,Jer,Jeremiah,52
en,4,25,Lam,Lamentations,5
en,4,26,Ezek,Ezekiel,48
en,4,27,Dan,Daniel,12
en,4,28,Hos,Hosea,14
en,4,29,Joel,Joel,3
en,4,30,Amos,Amos,9
en,4,31,Obad,Obadiah,1
en,4,32,Jonah,Jonah,4
en,4,33,Mic,Micah,7
en,4,34,Nah,Nahum,3
en,4,35,Hab,Habakkuk,3
en,4,36,Zeph,Zephaniah,3
en,4,37,Hag,Haggai,2
en,4,38,Zech,Zechariah,14
en,4,39,Mal,Malachi,4
en,5,40,Matt,Matthew,28
en,5,41,Mark,Mark,16
en,5,42,Luke,Luke,24
en,5,43,John,John,21
en,6,44,Acts,Acts,28
en,7,45,Rom,Romans,16
en,7,46,1Cor,1 Corinthians,16
en,7,47,2Cor,2 Corinthians,13
en,7,48,Gal,Galatians,6
en,7,49,Eph,Ephesians,6
en,7,50,Phil,Philippians,4
en,7,51,Col,Colossians,4
en,7,52,1Thess,1 Thessalonians,5
en,7,53,2Thess,2 Thessalonians,3
en,7,54,1Tim,1 Timothy,6
en,7,55,2Tim,2 Timothy,4
en,7,56,Titus,Titus,3
en,7,57,Phlm,Philemon,1
en,7,58,Heb,Hebrews,13
en,7,59,Jas,James,5
en,7,60,1Pet,1 Peter,5
en,7,61,2Pet,2 Peter,3
en,7,62,1John,1 John,5
en,7,63,2John,2 John,1
en,7,64,3John,3 John,1
en,7,65,Jude,Jude,1
en,8,66,Rev,Revelation,22
zh-TW,1,1,創,創世記,50
zh-TW,1,2,出,出埃及記,40
zh-TW,1,3,利,利未記,27
zh-TW,1,4,民,民數記,36
zh-TW,1,5,申,申命記,34
zh-TW,2,6,書,約書亞記,24
zh-TW,2,7,士,士師記,21
zh-TW,2,8,得,路得記,4
zh-TW,2,9,撒上,撒母耳記上,31
zh-TW,2,10,撒下,撒母耳記下,24
zh-TW,2,11,王上,列王紀上,22
zh-TW,2,12,王下,列王紀下,25
zh-TW,2,13,代上,歷代志上,29
zh-TW,2,14,代下,歷代志下,36
zh-TW,2,15,拉,以斯拉記,10
zh-TW,2,16,尼,尼希米記,13
zh-TW,2,17,斯,以斯帖記,10
zh-TW,3,18,伯,約伯記,42
zh-TW,3,19,詩,詩篇,150
zh-TW,3,20,箴,箴言,31
zh-TW,3,21,傳,傳道書,12
zh-TW,3,22,歌,雅歌,8
zh-TW,4,23,賽,以賽亞書,66
zh-TW,4,24,耶,耶利米書,52
zh-TW,4,25,哀,耶利米哀歌,5
zh-TW,4,26,結,以西結書,48
zh-TW,4,27,但,但以理書,12
zh-TW,4,28,何,何西阿書,14
zh-TW,4,29,珥,約珥書,3
zh-TW,4,30,摩,阿摩司書,9
zh-TW,4,31,俄,俄巴底亞書,1
zh-TW,4,32,拿,約拿書,4
zh-TW,4,33,彌,彌迦書,7
zh-TW,4,34,鴻,那鴻書,3
zh-TW,4,35,哈,哈巴谷書,3
zh-TW,4,36,番,西番雅書,3
zh-TW,4,37,該,哈該書,2
zh-TW,4,38,亞,撒迦利亞書,14
zh-TW,4,39,瑪,瑪拉基書,4
zh-TW,5,40,太,馬太福音,28
zh-TW,5,41,可,馬可福音,16
zh-TW,5,42,路,路加福音,24
zh-TW,5,43,約,約翰福音,21
zh-TW,6,44,徒,使徒行傳,28
zh-TW,7,45,羅,羅馬書,16
zh-TW,7,46,林前,哥林多前書,16
zh-TW,7,47,林後,哥林多後書,13
zh-TW,7,48,加,加拉太書,6
zh-TW,7,49,弗,以弗所書,6
zh-TW,7,50,腓,腓立比書,4
zh-TW,7,51,西,歌羅西書,4
zh-TW,7,52,帖前,帖撒羅尼迦前書,5
zh-TW,7,53,帖後,帖撒羅尼迦後書,3
zh-TW,7,54,提前,提摩太前書,6
zh-TW,7,55,提後,提摩太後書,4
zh-TW,7,56,多,提多書,3
zh-TW,7,57,門,腓利門書,1
zh-TW,7,58,來,希伯來書,13
zh-TW,7,59,雅,雅各書,5
zh-TW,7,60,彼前,彼得前書,5
zh-TW,7,61,彼後,彼得後書,3
zh-TW,7,62,約一,約翰一書,5
zh-TW,7,63,約二,約翰二書,1
zh-TW,7,64,約三,約翰三書,1
zh-TW,7,65,猶,猶大書,1
zh-TW,8,66,啟,啟示錄,22
zh-CN,1,1,创,创世记,50
zh-CN,1,2,出,出埃及记,40
zh-CN,1,3,利,利未记,27
zh-CN,1,4,民,民数记,36
zh-CN,1,5,申,申命记,34
zh-CN,2,6,书,约书亚记,24
zh-CN,2,7,士,士师记,21
zh-CN,2,8,得,路得记,4
zh-CN,2,9,撒上,撒母耳记上,31
zh-CN,2,10,撒下,撒母耳记下,24
zh-CN,2,11,王上,列王纪上,22
zh-CN,2,12,王下,列王纪下,25
zh-CN,2,13,代上,历代志上,29
zh-CN,2,14,代下,历代志下,36
zh-CN,2,15,拉,以斯拉记,10
zh-CN,2,16,尼,尼希米记,13
zh-CN,2,17,斯,以斯帖记,10
zh-CN,3,18,伯,约伯记,42
zh-CN,3,19,诗,诗篇,150
zh-CN,3,20,箴,箴言,31
zh-CN,3,21,传,传道书,12
zh-CN,3,22,歌,雅歌,8
zh-CN,4,23,赛,以赛亚书,66
zh-CN,4,24,耶,耶利米书,52
zh-CN,4,25,哀,耶利米哀歌,5
zh-CN,4,26,结,以西结书,48
zh-CN,4,27,但,但以理书,12
zh-CN,4,28,何,何西阿书,14
zh-CN,4,29,珥,约珥书,3
zh-CN,4,30,摩,阿摩司书,9
zh-CN,4,31,俄,俄巴底亚书,1
zh-CN,4,32,拿,约拿书,4
zh-CN,4,33,弥,弥迦书,7
zh-CN,4,34,鸿,那鸿书,3
zh-CN,4,35,哈,哈巴谷书,3
zh-CN,4,36,番,西番雅书,3
zh-CN,4,37,该,哈该书,2
zh-CN,4,38,亚,撒迦利亚书,14
zh-CN,4,39,玛,玛拉基书,4
zh-CN,5,40,太,马太福音,28
zh-CN,5,41,可,马可福音,16
zh-CN,5,42,路,路加福音,24
zh-CN,5,43,约,约翰福音,21
zh-CN,6,44,徒,使徒行传,28
zh-CN,7,45,罗,罗马书,16
zh-CN,7,46,林前,哥林多前书,16
zh-CN,7,47,林后,哥林多后书,13
zh-CN,7,48,加,加拉太书,6
zh-CN,7,49,弗,以弗所书,6
zh-CN,7,50,腓,腓立比书,4
zh-CN,7,51,西,歌罗西书,4
zh-CN,7,52,帖前,帖撒罗尼迦前书,5
zh-CN,7,53,帖后,帖撒罗尼迦后书,3
zh-CN,7,54,提前,提摩太前书,6
zh-CN,7,55,提后,提摩太后书,4
zh-CN,7,56,多,提多书,3
zh-CN,7,57,门,腓利门书,1
zh-CN,7,58,来,希伯来书,13
zh-CN,7,59,雅,雅各书,5
zh-CN,7,60,彼前,彼得前书,5
zh-CN,7,61,彼后,彼得后书,3
zh-CN,7,62,约一,约翰一书,5
zh-CN,7,63,约二,约翰二书,1
zh-CN,7,64,约三,约翰三书,1
zh-CN,7,65,犹,犹大书,1
zh-CN,8,66,启,启示录,22
es,1,1,Gen,Génesis,50
es,1,2,Éx,Éxodo,40
es,1,3,Lev,Levítico,27
es,1,4,Num,Números,36
es,1,5,Deut,Deuteronomio,34
es,2,6,Jos,Josué,24
es,2,7,Jue,Jueces,21
es,2,8,Rut,Rut,4
es,2,9,1Sam,1 Samuel,31
es,2,10,2Sam,2 Samuel,24
es,2,11,1Rey,1 Reyes,22
es,2,12,2Rey,2 Reyes,25
es,2,13,1Crón,1 Crónicas,29
es,2,14,2Crón,2 Crónicas,36
es,2,15,Esd,Esdras,10
es,2,16,Neh,Nehemías,13
es,2,17,Est,Ester,10
es,3,18,Job,Job,42
es,3,19,Sal,Salmos,150
es,3,20,Prov,Proverbios,31
es,3,21,Ecl,Eclesiastés,12
es,3,22,Cant,Cantar de los Cantares,8
es,4,23,Isa,Isaías,66
es,4,24,Jer,Jeremías,52
es,4,25,Lam,Lamentaciones,5
es,4,26,Eze,Ezequiel,48
es,4,27,Dan,Daniel,12
es,4,28,Ose,Oseas,14
es,4,29,Joel,Joel,3
es,4,30,Am,Amós,9
es,4,31,Abd,Abdías,1
es,4,32,Jon,Jonás,4
es,4,33,Miq,Miqueas,7
es,4,34,Nah,Nahúm,3
es,4,35,Hab,Habacuc,3
es,4,36,Sof,Sofonías,3
es,4,37,Hag,Hageo,2
es,4,38,Zac,Zacarías,14
es,4,39,Mal,Malaquías,4
es,5,40,Mat,San Mateo,28
es,5,41,Mar,San Marcos,16
es,5,42,Luc,San Lucas,24
es,5,43,Jn,San Juan,21
es,6,44,Hch,Hechos,28
es,7,45,Rom,Romanos,16
es,7,46,1Cor,1 Corintios,16
es,7,47,2Cor,2 Corintios,13
es,7,48,Gál,Gálatas,6
es,7,49,Efe,Efesios,6
es,7,50,Fil,Filipenses,4
es,7,51,Col,Colosenses,4
es,7,52,1Tes,1 Tesalonicenses,5
es,7,53,2Tes,2 Tesalonicenses,3
es,7,54,1Tim,1 Timoteo,6
es,7,55,2Tim,2 Timoteo,4
es,7,56,Tit,Tito,3
es,7,57,Flm,Filemón,1
es,7,58,Heb,Hebreos,13
es,7,59,Stg,Santiago,5
es,7,60,1Pe,1 Pedro,5
es,7,61,2Pe,2 Pedro,3
es,7,62,1Jn,1 Juan,5
es,7,63,2Jn,2 Juan,1
es,7,64,3Jn,3 Juan,1
es,7,65,Jud,Judas,1
es,8,66,Apc,Apocalipsis,22
hi,1,1,उत्प,उत्पत्ति,50
hi,1,2,निर्ग,निर्गमन,40
hi,1,3,लै,लैव्यव्यवस्था,27
hi,1,4,गिन,गिनती,36
hi,1,5,व्य,व्यवस्था विवरण,34
hi,2,6,यहो,यहोशू,24
hi,2,7,न्या,न्यायियों,21
hi,2,8,रूत,रूत,4
hi,2,9,1शमू,1 शमूएल,31
hi,2,10,2शमू,2 शमूएल,24
hi,2,11,1रा,1 राजा,22
hi,2,12,2रा,2 राजा,25
hi,2,13,1इत,1 इतिहास,29
hi,2,14,2इत,2 इतिहास,36
hi,2,15,एज,एज्रा,10
hi,2,16,नहे,नहेमायाह,13
hi,2,17,एस्त,एस्तेर,10
hi,3,18,अय्यू,अय्यूब,42
hi,3,19,भज,भजन संहिता,150
hi,3,20,नीति,नीतिवचन,31
hi,3,21,सभो,सभोपदेशक,12
hi,3,22,श्रेष्ठ,श्रेष्ठगीत,8
hi,4,23,यशा,यशायाह,66
hi,4,24,यिरे,यिर्मयाह,52
hi,4,25,विल,विलापगीत,5
hi,4,26,यहे,यहेजकेल,48
hi,4,27,दान,दानिय्येल,12
hi,4,28,होशे,होशे,14
hi,4,29,योएल,योएल,3
hi,4,30,आम,आमोस,9
hi,4,31,ओब,ओबद्याह,1
hi,4,32,योना,योना,4
hi,4,33,मीका,मीका,7
hi,4,34,नहू,नहूम,3
hi,4,35,हब,हबक्कूक,3
hi,4,36,सपन्य,सपन्याह,3
hi,4,37,हग्ग,हाग्गै,2
hi,4,38,जकर,जकर्याह,14
hi,4,39,मल,मलाकी,4
hi,5,40,मत्ती,मत्ती,28
hi,5,41,मरकु,मरकुस,16
hi,5,42,लूका,लूका,24
hi,5,43,यूह,यूहन्ना,21
hi,6,44,प्रे,प्रेरितों के काम,28
hi,7,45,रोम,रोमियों,16
hi,7,46,1कुरि,1 कुरिन्थियों,16
hi,7,47,2कुरि,2 कुरिन्थियों,13
hi,7,48,गल,गलातियों,6
hi,7,49,इफि,इफिसियों,6
hi,7,50,फिलि,फिलिप्पियों,4
hi,7,51,कुलु,कुलुस्सियों,4
hi,7,52,1थिस्स,1 थिस्सलुनीकियों,5
hi,7,53,2थिस्स,2 थिस्सलुनीकियों,3
hi,7,54,1ति,1 तीमुथियुस,6
hi,7,55,2ति,2 तीमुथियुस,4
hi,7,56,तीत,तीतुस,3
hi,7,57,फिलेम,फिलेमोन,1
hi,7,58,इब्रा,इब्रानियों,13
hi,7,59,याकू,याकूब,5
hi,7,60,1पतर,1 पतरस,5
hi,7,61,2पतर,2 पतरस,3
hi,7,62,1यूह,1 यूहन्ना,5
hi,7,63,2यूह,2 यूहन्ना,1
hi,7,64,3यूह,3 यूहन्ना,1
hi,7,65,यहू,यहूदा,1
hi,8,66,प्रका,प्रकाशितवाक्य,22
ar,1,1,تك,التكوين,50
ar,1,2,خر,الخروج,40
ar,1,3,لا,اللاويين,27
ar,1,4,عد,العدد,36
ar,1,5,تث,التثنية,34
ar,2,6,يش,يشوع,24
ar,2,7,قض,القضاة,21
ar,2,8,راع,راعوث,4
ar,2,9,1صم,صموئيل الأول,31
ar,2,10,2صم,صموئيل الثاني,24
ar,2,11,1مل,الملوك الأول,22
ar,2,12,2مل,الملوك الثاني,25
ar,2,13,1أخ,أخبار الأيام الأول,29
ar,2,14,2أخ,أخبار الأيام الثاني,36
ar,2,15,عز,عزرا,10
ar,2,16,نح,نحميا,13
ar,2,17,أس,أستير,10
ar,3,18,أي,أيوب,42
ar,3,19,مز,المزامير,150
ar,3,20,أم,الأمثال,31
ar,3,21,جا,الجامعة,12
ar,3,22,نش,نشيد الأنشاد,8
ar,4,23,إش,إشعياء,66
ar,4,24,إر,إرميا,52
ar,4,25,مرا,مراثي إرميا,5
ar,4,26,حز,حزقيال,48
ar,4,27,دا,دانيال,12
ar,4,28,هو,هوشع,14
ar,4,29,يؤ,يوئيل,3
ar,4,30,عا,عاموس,9
ar,4,31,عو,عوبديا,1
ar,4,32,يون,يونان,4
ar,4,33,مي,ميخا,7
ar,4,34,نا,ناحوم,3
ar,4,35,حب,حبقوق,3
ar,4,36,صف,صفنيا,3
ar,4,37,حج,حجي,2
ar,4,38,زك,زكريا,14
ar,4,39,ملا,ملاخي,4
ar,5,40,مت,متى,28
ar,5,41,مر,مرقس,16
ar,5,42,لو,لوقا,24
ar,5,43,يو,يوحنا,21
ar,6,44,أع,أعمال الرسل,28
ar,7,45,رو,رومية,16
ar,7,46,1كو,كورنثوس الأولى,16
ar,7,47,2كو,كورنثوس الثانية,13
ar,7,48,غل,غلاطية,6
ar,7,49,أف,أفسس,6
ar,7,50,في,فيلبي,4
ar,7,51,كو,كولوسي,4
ar,7,52,1تس,تسالونيكي الأولى,5
ar,7,53,2تس,تسالونيكي الثانية,3
ar,7,54,1تي,تيموثاوس الأولى,6
ar,7,55,2تي,تيموثاوس الثانية,4
ar,7,56,تي,تيطس,3
ar,7,57,فل,فليمون,1
ar,7,58,عب,العبرانيين,13
ar,7,59,يع,يعقوب,5
ar,7,60,1بط,بطرس الأولى,5
ar,7,61,2بط,بطرس الثانية,3
ar,7,62,1يو,يوحنا الأولى,5
ar,7,63,2يو,يوحنا الثانية,1
ar,7,64,3يو,يوحنا الثالثة,1
ar,7,65,يه,يهوذا,1
ar,8,66,رؤ,رؤيا يوحنا,22
