"code","name","original"
"am","Amharic","አማርኛ"
"ar","Arabic","اَلْعَرَبِيَّةُ"
"bg","Bulgarian","български"
"bn","Bengali","বাংলা"
"ca","Catalan","Català"
"chr","Cherokee","ᏣᎳᎩ"
"cs","Czech","Čeština"
"cy","Welsh","Cymraeg"
"da","Danish","Dansk"
"de","German","Deutsch"
"el","Greek","Ελληνικά"
"en","English","English"
"en-GB","English(UK)","British English"
"es","Spanish","Español"
"et","Estonian","Eesti"
"eu","Basque","Euskara"
"fi","Finnish","Suomi"
"fil","Filipino","Filipino"
"fr","French","Français"
"gu","Gujarati","ગુજરાતી"
"hi","Hindi","हिन्दी"
"hr","Croatian","Hrvatski"
"hu","Hungarian","Magyar"
"id","Indonesian","Bahasa Indonesia"
"is","Icelandic","Íslenska"
"it","Italian","Italiano"
"he","Hebrew","עברית"
"ja","Japanese","日本語"
"kn","Kannada","ಕನ್ನಡ"
"ko","Korean","한국어"
"lt","Lithuanian","Lietuvių"
"lv","Latvian","Latviešu"
"ml","Malayalam","മലയാളം"
"mr","Marathi","मराठी"
"ms","Malay","Bahasa Melayu"
"nl","Dutch","Nederlands"
"no","Norwegian","Norsk"
"pl","Polish","Polski"
"pt-BR","Portuguese (Brazil)","Português (Brasil)"
"pt-PT","Portuguese (Portugal)","Português (Portugal)"
"ro","Romanian","Română"
"ru","Russian","Русский"
"sk","Slovak","Slovenčina"
"sl","Slovenian","Slovenščina"
"sr","Serbian","Српски"
"sv","Swedish","Svenska"
"sw","Swahili","Kiswahili"
"ta","Tamil","தமிழ்"
"te","Telugu","తెలుగు"
"th","Thai","ไทย"
"tr","Turkish","Türkçe"
"uk","Ukrainian","Українська"
"ur","Urdu","اردو"
"vi","Vietnamese","Tiếng Việt"
"zh-CN","Chinese (simplified)","简化中文"
"zh-TW","Chinese (traditional)","傳統中文"
